   [38;2;150;108;75m-[38;2;150;108;75m\ 
Multiple apps found matching input criteria. Please refine the input.
Name                                  Id                                  Version
.NET Core Preview                     Microsoft.dotnetPreview             5.0.100-previ...
The Dude Long-term                    Mikrotik.TheDude                    6.45.9
Min Browser                           Min.Min                             1.14.1
Satisfactory Mod Launcher             Mircearoata.SatisfactoryModLauncher 1.0.17
Molotov                               MolotovTV.Molotov                   4.2.3
MongoDB Compass Community             MongoDB.Compass.Community           1.21.2
MongoDB Compass Full                  MongoDB.Compass.Full                1.21.2
MongoDB Compass Isolated              MongoDB.Compass.Isolated            1.21.2
MongoDB Compass Readonly              MongoDB.Compass.Readonly            1.21.2
MongoDB Server                        MongoDB.Server                      4.2.8
MongoDB Shell                         MongoDB.Shell                       4.2.8
Mono                                  Mono.Mono                           6.8.0.123
MonoGame                              MonoGame.MonoGame                   3.7.1.0
Pale Moon                             MoonchildProductions.PaleMoon       28.10.0
Moonlight                             MoonlightGameStreamingProject.Mo... 2.1.0
Firefox                               Mozilla.Firefox                     77.0.1
Firefox Developer Edition             Mozilla.FirefoxDeveloperEdition     78.0b6
Firefox ESR                           Mozilla.FirefoxESR                  68.9.0esr
Firefox Nightly                       Mozilla.FirefoxNightly              79.0a1
Thunderbird                           Mozilla.Thunderbird                 68.9.0
Thunderbird Beta                      Mozilla.ThunderbirdBeta             78.0b1
